address,constant_name,value,comment
0x1C5B6,VP44_FUEL_TEMP_OFFSET,112,VP44 fuel temperature sensor offset (movew #112)
0x29C8A,RPM_MULTIPLIER,4,RPM scaling factor (lsll #2 = multiply by 4)
0x1C85A,CAN_MSG_VP44_FUEL,16,CAN message type for VP44 fuel temperature
0x1C860,CAN_MSG_ALT_HANDLER,17,CAN message type for alternative handler
0x1C866,CAN_MSG_THIRD_HANDLER,19,CAN message type for third handler
0x1C872,CAN_MSG_ERROR_DEFAULT,255,CAN message error/default case (0xFF)
0xd632,PARAM_SAFETY_LIMIT,32000,Parameter value safety limit (max allowed)
0x12afa,BLOCK_MULTIPLIER,256,Block address calculation multiplier
0x12afe,VALIDATION_DIVISOR,65535,Address validation divisor (Block × 65535)
0x80CFD6,PARAM_TABLE_BASE,0x80CFD6,Parameter table base address
0x8086F6,REF_TABLE_BASE,0x8086F6,Reference table base address
0xd8b4,INTERP_SCALE_FACTOR,3,Interpolation scaling factor (value × 3)
0xd8b8,INTERP_SHIFT_BITS,8,Interpolation bit shift amount
