address,array_name,element_type,element_count,comment
0x80CFD0,parameter_buffer,word,16,Parameter storage array (32 bytes)
0x80CFD6,param_table_array,word,8,Parameter table entries (16 bytes)
0x8086F0,reference_table_array,word,8,Reference values for parameter calculations
0x8086C0,scale_factor_table,word,16,Scaling factors for parameter interpolation
0x800000,sensor_data_buffer,byte,256,Raw sensor data collection buffer
0x800100,can_message_buffer,byte,64,CAN message assembly/parsing buffer
0x80303e,vp44_0x100_message,byte,9,VP44 0x100 command message: [header][fuel_high][fuel_low][timing3-6][rpm_low][rpm_high]
0x800f5e,vp44_response_data,byte,16,VP44 response message processing array
0x800200,engine_rpm_lookup_table,word,32,Engine RPM-based lookup table for fuel/timing calculations (64 bytes)
0x800300,lookup_table_fuel,word,32,Fuel-based lookup table (64 bytes)
0x800400,calibration_data,word,64,Calibration constants array (128 bytes)
0x801000,eeprom_mirror,byte,1024,EEPROM data mirror in RAM (1KB)
0x802000,diagnostic_buffer,byte,128,Diagnostic message buffer
0x803000,can_tx_queue,byte,80,CAN transmit message queue (10 messages × 8 bytes)
0x804000,can_rx_queue,byte,80,CAN receive message queue (10 messages × 8 bytes)
0xFFFE00,stack_area,byte,256,Internal RAM stack area
0xFFFF00,register_map,byte,256,Memory-mapped I/O registers
