address,newName
0x1C10E,sendJ1939MultiFrame
0x1C538,vp44FuelTempHandler
0x1C846,vp44CanMessageDispatcher
0x1c7ca,diagnosticErrorHandler
0x1c33e,diagnosticParamRequestHandler
0x1c776,diagnosticStatusRequestHandler
0x2a57e,configParamCanBuilder
0x2a418,vp44Command0x100Builder
0x2a2f2,buildPgn61444_ProprietarySpeed
0x17b3a,scheduler_init
0x175ba,main_loop
0x12afa,param_address_calc
0x18f82,activeParamReadFunction
0x29C52,buildCanMessage
0xE052,sendCanSingleFrame
0xE180,sendCanMessage
0x357f6,tableInterpolationLookup
0x357e4,rpmFuelCalculation
0xd8b4,param_interpolate
0xd57c,paramSystemModeController
0xd69c,param_lookup_2
0xd632,param_lookup_1
0xd756,param_lookup_3
0x131d6,circularBufferWrite
0x0000f9f0,canMessageBufferLogger
0x000258e0,memoryPatchingSystem
0x0001b37a,memoryOperationDispatcher
0x0001f1e0,memcpy
0x0002b544,addressRangeValidator
0x0001b7ca,addressLookupFunction
0x00027e98,systemSecurityCheck
0x0000a53e,dmaControllerSetup1
0x0000a56e,dmaDescriptorSetup1
0x0000a598,dmaDescriptorSetup2
0x00025596,system_startup
0x00020462,mainSystemInitialization
0x0000f4ea,firmwareDataCopyToWorkingMemory
0x00026ec4,clearWorkingMemory
0x00020980,mainCanTransmissionLoop
0x00020918,canTransmissionScheduler
0x000294ea,canBufferSetup1
0x00029796,j1939MessageSetup_PGN_65265
0x0002787e,canTransmissionController
0x0002a51e,cumminsProprietaryDM_983_Builder
0x0002a5da,secondaryParamPGN_65247_Builder
0x0002a7f8,extendedDiagPGN_65251_Builder
0x0000d71a,diagnosticDataBufferSetup
0x2aba4,cumminsProprietaryTSC_PGN_15728640_Builder
0x2aade,torqueControlDataBuilder
0x2ada8,fuelEconomyPGN_65266_Builder
0x2acd0,fuelEconomyDataBuilder
0x2b1f6,retarderConfigPGN_65249_Builder
0x2b0cc,retarderConfigDataBuilder
0x27dd4,retarderModeThresholdsSetup
0x35560,lookupTableInterpolation
0x2956a,ambientConditionsPGN_65269_Builder
0x295d4,ambientConditionsDataBuilder
0x2a8da,engineFluidLevelPGN_65263_Builder
0x2a93a,engineFluidLevelDataBuilder
0x2aee2,engineHoursPGN_65252_Builder
0x2afca,intakeManifoldPGN_65526_Builder
0x2b060,cruiseControlPGN_65264_Builder
0x2b338,electronicBrakePGN_65527_Builder
0x29a86,engineCoolantPGN_65226_Builder
0x2a222,diagnosticDM8PGN_65232_Builder
0x1af38,timerSchedulerSetup
0x27300,systemControlFunction1
0x1b1b4,coreSystemControlFunction
0x273c0,systemControlFunction2
0x27514,systemControlFunction3
0x27e86,systemControlFunction4
0x2793e,diagnosticDataDump
0x29868,engineSerialNumberPGN_65259_Builder
0x2aa74,engineTemperaturePGN_65262_Builder
0x2ac7a,intakeExhaustConditionsPGN_65257_Builder
0x2ae60,ioControlPGN_65244_Builder
0x2b29e,vehicleDistancePGN_65248_Builder
0x2b3fc,vehicleHoursPGN_65255_Builder
0x29bf4,diagnosticDM2PGN_65227_Builder
0x2732e,canTransmissionTrigger
0x2a090,diagnosticDM4PGN_65229_Builder
0x2a1a0,diagnosticDM5PGN_65230_Builder
0x2a29c,diagnosticDM11PGN_65234_Builder
0x1c0c2,systemFunction5xCaller
0x2725a,coreSystemFunction
0x1bd58,systemFunction1xCaller
0x1b762,systemFunction6xParameterized
0xfa40,systemFunction8xMaximum
0x1b172,systemFunction4xParameterizedAlt
0x17b88,mainLoopTaskSchedulerInit
0x122d0,ioControlAndCanPinSwitching
0x172bc,ioControlAndCanPinSwitchingWrapper
0x172c4,evenPhaseSchedulerTaskSet
0x172e4,oddPhaseSchedulerTaskSet
0x1b1f4,timerBasedTaskScheduler
0x1cc38,systemStatusProcessor
0x1b9da,memoryRegisterController
0x1cad6,messageQueueDispatcher
0x35298,systemStatusMonitor
0x1cabe,vp44ResponseTimeoutHandler
0x1c4c0,vp44MessageTransmitter
0x1c996,diagnosticMessageProcessor
0x1c3d2,messageErrorHandler
0x1c8b6,unknownMessageHandler
