address,newName
0x1C10E,sendJ1939MultiFrame
0x1C538,vp44FuelTempHandler
0x1C846,canMessageDispatcher
0x1c7ca,diagnosticErrorHandler
0x1c33e,diagnosticParamRequestHandler
0x1c776,diagnosticStatusRequestHandler
0x2a57e,configParamCanBuilder
0x2a418,engineParamCanBuilder
0x12afa,param_address_calc
0x18f82,activeParamReadFunction
0x29C52,buildCanMessage
0xE052,sendJ1939SingleFrame
0xE180,sendJ1939Msg
0xd8b4,param_interpolate
0xd57c,paramSystemModeController
0xd69c,param_lookup_2
0xd632,param_lookup_1
0xd756,param_lookup_3
