address,label_name,comment
0x1C85A,switch_case_16,VP44 handler case - reads byte 0
0x1C860,switch_case_17,Alternative handler case
0x1C866,switch_case_19,Third handler case
0x1C872,switch_case_255,Default/error case (0xFF)
0x1C538,vp44_fuel_temp_entry,VP44 fuel temperature handler entry point
0x1C33E,handler_case_17_entry,Case 17 handler entry point
0x1C776,handler_case_19_entry,Case 19 handler entry point
0x1C7CA,handler_case_255_entry,Case 255 handler entry point
0x1C88E,call_vp44_handler,Branch to VP44 handler (bsrw 0x1c538)
0x29C52,build_can_msg_entry,CAN message builder entry point
0x29C8A,rpm_multiply_point,RPM x4 multiplication point
0x29C67,fuel_percent_store,Fuel percentage storage point
0x29C74,timing_advance_store,Timing advance storage point
